id,name,description
1235,Comet Plug-in for Adobe¬Æ Illustrator¬Æ and SAP Commerce Cloud,SAP Store
1236,CommCare,Data Management Platform (DMP)
1237,Comments Analytics,"Social Customer Service, Brand Intelligence, Text Analysis, Feedback Analytics"
1238,Common Room,"Online Community Management, Buyer Intent Data Providers, Lead Intelligence, Marketing Account Intelligence"
1239,Commusoft,Field Service Management
1240,Commvault Cloud,"Server Backup, Database Backup, File Recovery, SaaS Backup"
1241,CompStak Enterprise,Real Estate Investment Management
1242,CompStak Prospect,Property Intelligence
1243,Comparably by ZoomInfo,Job Search Sites
1244,Compellon,Predictive Analytics
1245,Compleat Software,"AP Automation, Supplier Relationship Management (SRM), Purchasing, Invoice Management"
1246,Compliance Manager GRC,"Security Compliance, Data Governance, Healthcare Compliance, Business Continuity Management"
1247,Compliance Star,"Audit Management, Disclosure Management, Regulatory Change Management"
1248,Comply365,Course Authoring
1249,ComplyCloud,"Data Subject Access Request (DSAR), Data Privacy Management, Data Breach Notification"
1250,ComplyCube,"Digital Customer Onboarding, Age Verification, Identity Verification, Address Verification, Anti Money Laundering, Reference Check, Biometric Authentication"
1251,Composable DataOps Platform,"Analytics Platforms, DataOps Platforms"
1252,Compose Hosted PostgreSQL,"Database as a Service (DBaaS), Relational Databases"
1253,CompuData,"Sage Fixed Assets Resellers, Epicor Channel Partners, Sage 500 Resellers, Sage 100 Resellers, Sage Intacct Channel Partners, Cloud Consulting, Managed IT Services, ITSM Tool Implementation, Consulting, and Managed Services, Cybersecurity Consulting, Managed Security Services (MSSP), Microsoft Consulting Services"
1254,Compyl,"Third Party \\u0026 Supplier Risk Management, Policy Management, Enterprise Risk Management (ERM), Security Compliance"
1255,ConWize Estimating and Bid management,"Takeoff, Bid Management, Construction Estimating, Construction CRM"
1256,Conciliac EDM,SAP Store
1257,Condens,User Research Repositories
1258,Condrey File Analysis \u0026 Data Management,File Analysis
1259,Conduit,Yard Management
1260,Coneix,Project Management
1261,Conektto,"API Platforms, API Management, Build Automation, API Design"
1262,Confirm,"Employee Engagement, Performance Management"
1263,Confluent,"Event Stream Processing, Stream Analytics, Big Data Processing and Distribution, Big Data Analytics"
1264,Conga CPQ,"CPQ, Quote-to-Cash"
1265,Conga Composer,"Document Generation, Salesforce CRM Document Generation, Document Creation, Salesforce AppExchange Apps, Proposal"
1266,Conga Contract Intelligence (formerly Contract Wrangler),"Contract Analytics, Contract Management"
1267,Conga Grid,"Sales Analytics, Salesforce AppExchange Apps"
1268,Connect ETL,ETL Tools
1269,ConnectALL,"SAP Store, Value Stream Management, iPaaS, On-Premise Data Integration"
1270,ConnectWise BCDR,"SaaS Backup, Disaster Recovery"
1271,ConnectWise Cybersecurity Management – SaaS,"Cloud Security Monitoring and Analytics, Cloud Access Security Broker (CASB), Threat Intelligence"
1272,ConnectedSign Digital Signage Platform,Digital Signage
1273,Connectifier,Recruiting Automation
1274,Connectivity,Online Reputation Management
1275,Connectly.ai,"Conversational Marketing, Push Notification, Chatbots, Communication Platform as a Service, Customer Communications Management, Social Customer Service, Mobile Marketing"
1276,Connexity Shopping Ad Platform,"Demand Side Platform (DSP), Display Advertising"
1277,Consent Kit,Data Governance
1278,Consider,Recruiting Automation
1279,Console Connect,Data Center Networking
1280,Console Gateway,Property Management
1281,Constella Intelligence API,Dark Web Monitoring
1282,Contact Finder,Sales Intelligence
1283,Contact Wolf,Other Sales
1284,ContactBoss,Event Registration \\u0026 Ticketing
1285,ContactDB,Marketing Automation
1286,ContactPigeon,"Retail Intelligence, Email Template Builder, Direct Mail Automation, E-Commerce Personalization, Customer Journey Analytics, Marketing Automation, Landing Page Builders, Push Notification"
1287,Content Compare,Version Control Software
1288,Conterra FIM,"Invoice Management, AP Automation, Expense Management"
1289,Contify,"Web Data Providers, Competitive Intelligence, Market Intelligence, Media Monitoring"
1290,Continuity Software,"Vulnerability Scanner, Cloud Security Posture Management (CSPM), Risk-Based Vulnerability Management"
1291,Contlo,"Email Template Builder, Personalization, E-Commerce Analytics, AI Writing Assistant, Push Notification, AI Sales Assistant, Conversational Marketing, Customer Data Platform (CDP), E-Commerce Data Integration, Marketing Automation, SMS Marketing"
1292,ContractZen,"Virtual Data Room, Board Management, E-Signature, Contract Management, Meeting Management, Entity Management"
1293,Control-M,"Big Data Processing and Distribution, Workload Automation, Runbook Automation"
1294,ControlHub,Spend Management
1295,Contruent Enterprise (formerly ARES PRISM),"Earned Value Management, Capital Project Management, Project Cost Management, Project and Portfolio Management, On-Premise Data Integration, Construction Project Management"
1296,ConvergeOne,"Cisco Data Center Resellers, Cisco Unified Communications Resellers, Other Microsoft Resellers, Oracle Database Resellers"
1297,Converged Cloud Fabric,"Data Center Networking, Container Networking"
1298,Conversus.AI,Text Analysis
1299,Convert Experiences,A/B Testing
1300,Convertedin,Marketing Automation
1301,Convertr,"Lead Scoring, Customer Data Platform (CDP), Data Quality, Lead Intelligence"
1302,Convictional,"Drop Shipping, Supplier Relationship Management (SRM), Marketplace, Electronic Data Interchange (EDI)"
1303,Cooby,Sales Engagement
1304,Cookie Compliance,Cookie Tracking
1305,Cookie Scanner,Cookie Tracking
1306,CookieYes,"Consent Management Platform (CMP), Cookie Tracking, Privacy Policy Generator"
1307,Cooperate Marketing,Through-Channel Marketing
1308,Coosto,Social Media Listening Tools
1309,CopyStorm,"Database Backup, Salesforce AppExchange Apps"
1310,CopyWipe,Data Destruction
1311,Coralogix,"Cloud Security Monitoring and Analytics, Network Traffic Analysis (NTA), Cloud Infrastructure Monitoring, Container Monitoring, Log Analysis, Security Information and Event Management (SIEM), Application Performance Monitoring (APM), Network Monitoring, Enterprise Monitoring, IT Alerting, AIOps Platforms, Observability Solution Suites"
1312,Cordial,"Personalization Engines, Push Notification, Mobile Marketing, Marketing Automation"
1313,Cordic,Taxi \\u0026 Limousine
1314,Core5,Study Tools
1315,CoreLogic Realist,Property Intelligence
1316,CorePlan,"Mining, Exploration"
1317,CoreSite,"Data Center Infrastructure, Amazon Web Services Channel Partners, Oracle Channel Partners"
1318,Corepoint Integration Engine,Healthcare Integration Engines
1319,Corevist,"SAP Store, E-Commerce Platforms, Order Management"
1320,Cornerstone HR,"HR Service Delivery, HR Analytics, Core HR"
1321,Corning Data,"Oracle Cloud Application Resellers, Oracle Database Resellers, Other Oracle Resellers, Oracle JD Edwards EnterpriseOne Resellers"
1322,Coro Cybersecurity,"Insider Threat Management (ITM), Malware Analysis Tools, Cloud Security Monitoring and Analytics, Cloud File Security, Cloud Compliance, Cloud Data Security, Cloud Email Security, Data Loss Prevention (DLP), Network Access Control (NAC), Endpoint Detection \\u0026 Response (EDR), OT Secure Remote Access"
1323,CoroPlus® Tool Library,Computer-Aided Manufacturing (CAM)
1324,CorralData,Analytics Platforms
1325,Corrata,Mobile Data Security
1326,Corrily Price Optimization,Pricing
1327,Cortera Pulse,Financial Research
1328,Cortex,Other Analytics
1329,Cortex Data Lake,Cloud Data Security
1330,Cortex Intel,Energy Management
1331,CortexDB,Time Series Databases
1332,Cotiviti,Healthcare Analytics
1333,Couch \u0026 Associates,"Adobe Consulting Services, HubSpot Consulting Services, Salesforce Consulting Services, Marketing Automation Consulting, Marketing Strategy, Content Marketing Agencies"
1334,CouchDB,"Document Databases, Data Replication"
1335,Couchbase,"Document Databases, Key Value Databases"
1336,Couchbase Capella,Database as a Service (DBaaS)
1337,Couchbase Mobile App Services,IoT Connectivity Management
1338,Count,Data Visualization
1339,CountBig,Survey
1340,Counterpoint,"Retail Management Software, Retail POS"
1341,Coupler.io,"ETL Tools, Marketing Analytics, Data Extraction"
1342,Course5 Discovery,"Analytics Platforms, Embedded Business Intelligence, Predictive Analytics"
1343,Covalence,"Managed Detection and Response (MDR), Endpoint Detection \\u0026 Response (EDR), Extended Detection and Response (XDR) Platforms"
1344,Cove Data Protection,"Disaster Recovery, Online Backup, Server Backup, SaaS Backup, Disaster Recovery as a Service (DRaaS), File Recovery, Backup Solution Suites"
1345,CrawlNow,"Market Research Services, Data Extraction Services"
1346,CreateiQ,"Contract Lifecycle Management (CLM), Contract Management"
1347,Creative Cloud,Software Developer Services
1348,CredentialStream,"Health Care Credentialing, Provider Data Management (PDM)"
1349,Credit Offers API,Financial Data APIs
1350,Credit Scoring,Other Finance \\u0026 Admin.
1351,Crescendo,Microlearning Platforms
1352,Crest,Cross-Platform Developers
1353,Crexendo,"VoIP, UCaaS Platforms, Customer Communications Management"
1354,Crexi,"Brokerage Management, Real Estate Activities Management, Property Intelligence, Multiple Listing Service (MLS)"
1355,Crisp Data Platform,"Retail Analytics, Retail Intelligence"
1356,CrossFTP,File Transfer Protocol (FTP)
1357,Crossbeam,"Partner Management, Sales Intelligence, Partner Ecosystem Platforms, Data Clean Room"
1358,Crosschq,"Recruiting Automation, Reference Check, Talent Intelligence"
1359,Crossfire,"Electronic Data Interchange (EDI), iPaaS, Message Queue (MQ)"
1360,Crossplag,"AI Content Detectors, Plagiarism Checker"
1361,Crowd Signal,Survey
1362,CrowdSec,"Security Orchestration, Automation, and Response (SOAR), Intrusion Detection and Prevention Systems (IDPS), Container Security, Endpoint Detection \\u0026 Response (EDR), Threat Intelligence, Firewall Software"
1363,CrowdStrike Security Services,Penetration Testing Services
1364,Crowdcast,Video Conferencing
1365,Crowdskout,Political Campaign
1366,CrunchMetrics,Analytics Platforms
1367,Crunchbase,"Data Exchange Platforms, Marketing Account Intelligence, Market Intelligence, Sales Intelligence, Data as a Service (DaaS)"
1368,Crunchy PostgreSQL for Kubernetes,Database Management Systems (DBMS)
1369,Crypto APIs,"Blockchain as a Service, Blockchain Platforms"
1370,CryptoQokka,Financial Data APIs
1371,CtrlS,Infrastructure as a Service (IaaS)
1372,Cube,"Analytics Platforms, Embedded Business Intelligence"
1373,Cube Analytics,Analytics Platforms
1374,CubeBackup,SaaS Backup
1375,CubiCasa,Other Real Estate
1376,CubiLock,"Mobile Device Management (MDM), Enterprise Mobility Management"
1377,Cue,Digital Adoption Platform
1378,Cumulus,"Data Center Networking, Container Networking"
1379,Curve Hero,"Dental Practice Management, Dental Imaging"
1380,Custimy,Customer Data Platform (CDP)
1381,Custom Charts for Jira and Confluence Reporting,Data Visualization
1382,Customer Lockbox,Data Subject Access Request (DSAR)
1383,Customer.io,"SMS Marketing, Personalization, Push Notification, Transactional Email, Mobile Marketing, Marketing Automation, Customer Data Platform (CDP)"
1384,CustomerCount,Enterprise Feedback Management
1385,CustomerLabs CDP,"E-Commerce Analytics, Identity Resolution, Session Replay, Tag Management Systems, Customer Data Platform (CDP), Retargeting"
1386,Customers.ai,"SMS Marketing, Sales Engagement, Conversational Marketing, Chatbots, Lead Intelligence, Visitor Identification, Live Chat"
1387,Custora,"E-Commerce Analytics, Data Management Platform (DMP)"
1388,CyLock,"Multi-Factor Authentication (MFA), Single Sign-On (SSO)"
1389,Cyance,"Buyer Intent Data Providers, Marketing Account Intelligence"
1390,Cybba,"Digital Advertising Tech, Email Marketing, Display Advertising, Retargeting, Data Management Platform (DMP)"
1391,CybeReady Security Awareness Training Platform,Security Awareness Training
1392,Cyber Pop-up,Cybersecurity Consulting
1393,Cyber Security,Managed Detection and Response (MDR)
1394,Cyber adAPT,Mobile Data Security
1395,CyberFortress Data Recovery \u0026 Backup,"PC Backup, Online Backup, Server Backup, SaaS Backup, Disaster Recovery as a Service (DRaaS)"
1396,CyberGRX,"Vendor Security and Privacy Assessment, Third Party \\u0026 Supplier Risk Management"
1397,Cyberquery,"Data Visualization, Embedded Business Intelligence"
1398,Cyble,"Threat Intelligence, Dark Web Monitoring"
1399,Cybriant,"Managed SIEM Services, Vulnerability Assessment Services, Network Security Services, Managed Security Services (MSSP), IT Compliance Services, Incident Response Services, Endpoint Security Services, Data Security Services, Application Security Services, Cybersecurity Consulting"
1400,Cyclops,Retail Analytics
1401,Cyfe,"Social Media Listening Tools, Data Visualization"
1402,CylanceGATEWAY,"Secure Web Gateways, Mobile Data Security"
1403,Cyndx,"Equity Management, Financial Research, M\\u0026A Software"
1404,Cypris Market Intelligence,Market Intelligence
1405,Cyscale Cloud Platform,"Cloud Security Posture Management (CSPM), Cloud Compliance, Cloud Data Security, Cloud Security Monitoring and Analytics"
1406,Cytobank,Scientific Data Management System (SDMS)
1407,D3 Incident Management,Investigation Management
1408,D3js,JavaScript Web Frameworks
1409,DATABASICS Time \u0026 Expense,"Time Tracking, Expense Management"
1410,DATABASICS Vendor Invoice Management,Invoice Management
1411,DATATRAK ONE Unified Experience,"Clinical Trial Management Systems, Electronic Data Capture (EDC)"
1412,DATAVISION Electronic Sign In,Patient Intake
